,,,,,,,,,,,,,
,36,Como administartivo quiero generar una venta para tener un control sobre mis ventas,36,,2,2,"36,1 -","36,1 -","36,1 -",1.0,,,
,37,Como administrativo quiero modificar una venta para corregir una venta hecha,37,,2,2,"37,1 -","37,1 -","37,1 -",1.0,,,
,38,Como administrativo quiero cancelar una venta para evitar que ventas no completadas se guarden en mi registro.,38,,2,2,"38,1 -","38,1 -","38,1 -",1.0,,,
,39,Como administrativo quiero agregar un cliente para tener su información,39,,2,2,"39,1 -","39,1 -","39,1 -",1.0,,,
,40,Como administrativo quiero modificar un cliente para cambiar la información que tenía de él,40,,2,2,"40,1 -","40,1 -","40,1 -",1.0,,,
,41,Como administrativo quiero eliminar un cliente para borrar la información que tenía de él,41,,2,2,"41,1 -","41,1 -","41,1 -",1.0,,,
,43,Como administrativo quiero consultar historial de cliente para saber que y cuándo nos ha comprado,43,,2,2,"43,1 -","43,1 -","43,1 -",1.0,,,
,11,"Como  administrativo, quiero poder crear una materia prima al catálogo de materias primas para llevar un registro de todas las materias primas que me proveen",11,,1,1,"11,1 -","11,1 -","11,1 -",1.0,,,
,12,"Como  administrativo, quiero poder editar materia prima del catálogo de materias primas para tener la información correcta de cada materia prima",12,,1,1,"12,1 -","12,1 -","12,1 -",1.0,,,
,13,"Como  administrativo, quiero poder eliminar una materia prima del catálogo de materias primas para tener actualizado mi catálogo de materias primas.",13,,1,1,"13,1 -","13,1 -","13,1 -",1.0,,,
,14,"Como  administrativo, quiero poder consultar el inventario de materias primas para consultar qué materias primas tengo registradas y puede saber más información de ellas.",14,,1,1,"14,1 -","14,1 -","14,1 -",1.0,,,
,20,Como administrativo quiero poder agregar mermas de productos terminados para tener nuestro inventario de productos actualizado,20,,1,1,"20,1 -","20,1 -","20,1 -",1.0,,,
,35,Como administrativo quiero que me llegue una notificacion cuando el material va a caducar para evitar que caduque,35,,1,1,"35,1 -","35,1 -","35,1 -",1.0,,,
,46,Como usuario registado quiero iniciar sesión para que alguien sin cuenta no pueda entrar al sistema,46,,4,4,"46,1 -","46,1 -","46,1 -",1.0,,,
,47,Como usuario registrado quiero terminar sesión para salir del sistema,47,,4,4,"47,1 -","47,1 -","47,1 -",1.0,,,
,48,Como administrador quiero crear usuario para que tenga acceso al sistema.,48,,4,4,"48,1 -","48,1 -","48,1 -",1.0,,,
,49,Como administrador quiero modificar usuario para  que tenga los datos correctos. ,49,,4,4,"49,1 -","49,1 -","49,1 -",1.0,,,
,50,Como administrador quiero eliminar usuario para que ya no tenga acceso al sistema.,50,,4,4,"50,1 -","50,1 -","50,1 -",1.0,,,
,4,"Como administrativo, quiero poder subir un archivo de factura para verificar que haya capturado bien el inventario",4,,3,3,"4,1 -","4,1 -","4,1 -",1.0,,,
,5,"Como administrativo, quiero poder eliminar archivo de factura para no tener archivos inservibles",5,,3,3,"5,1 -","5,1 -","5,1 -",1.0,,,
,6,"Como administrativo, quiero poder subir un XML de Factura para hacer una captura automática",6,,3,3,"6,1 -","6,1 -","6,1 -",1.0,,,
,30,Como administrativo quiero agregar una categoría para tener mejor ordenados los productos.,30,,1,1,"30,1 -","30,1 -","30,1 -",1.0,,,
,31,Como administrativo quiero modificar una categoría para que tenga los datos correctos,31,,1,1,"31,1 -","31,1 -","31,1 -",1.0,,,
,32,Como administrativo quiero eliminar una categoría para sólo tener las necesarias.,32,,1,1,"32,1 -","32,1 -","32,1 -",1.0,,,
,42,Como administrativo quiero consultar historial de ventas para saber cómo van las ventas,42,,2,2,"42,1 -","42,1 -","42,1 -",1.0,,,
,44,Como administrativo quiero consultar pedidos para saber qué pedidos están activos,44,,2,2,"44,1 -","44,1 -","44,1 -",1.0,,,
,45,Como administrativo quiero concluir pedido para tener un órden de los pedidos hechos,45,,2,2,"45,1 -","45,1 -","45,1 -",1.0,,,
,51,Como administrativo quiero agregar una franquicia para que tenga acceso al sistema.,51,,1,1,"51,1 -","51,1 -","51,1 -",1.0,,,
,52,Como administrativo quiero modificar una franquicia para que tenga los datos correctos actualizados.,52,,1,1,"52,1 -","52,1 -","52,1 -",1.0,,,
,53,Como administrativo quiero eliminar una franquicia para que ya no tenga acceso al sistema.,53,,1,1,"53,1 -","53,1 -","53,1 -",1.0,,,
