,,,,,,,,,,,,,
,,,,,,,,,,,,,
ID,Nombre,Iteración,Criterio de Aceptación,Criterio de Terminación,Riesgo,Mitigación,Prioridad,Dependencias,Complejidad,Aceptado,Validado,,
29,"Como administrativo quiero eliminar una Receta para que en caso de que ya no se produzca el producto de esa receta, no me aparezca.",1,Preguntar si de verdad quiere eliminar registro,Se elimina receta,Bajo,,Alta,27,3,Sí,Sí,,
34,Como administrador quiero consultar el costo de un producto para asignarle un precio,1,Se calcula un costo correcto para cualquier producto,,,,Alta,27,5,Sí,Sí,,
1,"Como usuario administrativo, quiero poder agregar un proveedor para tener un registro de ellos",2,,Proveedor se da de alta en tabla proveedores,Bajo,"Es un nice have, no es necesario implmentarlo.",Baja,No,5,Sí,Sí,,
2,"Como administrativo, quiero poder editar la información de un proveedor para poder mantenerlos actualizados",2,,Datos de proveedor editados exitosamente,Bajo,"Es un nice have, no es necesario implmentarlo.",Baja,1,3,Sí,Sí,,
3,"Como administrativo, quiero poder eliminar un proveedor de mi lista para mantener mi lista actualizada",2,,El proveedor ya no aparece en la tabla de proveedores pero el registro sigue existiendo (soft delete),Bajo,"Es un nice have, no es necesario implmentarlo.",Baja,1,2,Sí,Sí,,
7,"Como administrativo, quiero poder agregar una compra para dar de alta las materias primas que adquirí",2,,,Bajo,,Media,"1,11,14",3,Sí,Sí,,
8,"Como  administrtaivo, quiero poder editar una compra para corregir información o actualizarla en caso de que sea necesario.",2,,,Bajo,,Media,10,5,Sí,Sí,,
9,"Como administrativo, quiero poder eliminar una compra para que en caso de error no afecte en mi inventario ni en mi cuenta.",2,,,Bajo,,Media,10,5,Sí,Sí,,85
10,"Como administrador, quiero poder consultar reporte de entradas para saber qué nos han vendido los proveedores",2,,,Bajo,,Alta,10,5,Sí,Sí,,
33,Como administrador quiero consultar un reporte para saber como van las ventas y el inventario,2,,,,,Alta,33,8,Sí,Sí,,
36,Como administartivo quiero generar una venta para tener un control sobre mis ventas,2,,Se registra la orden de venta,,,Medio,"21,36",5,Sí,Sí,,
37,Como administrativo quiero modificar una venta para corregir una venta hecha,2,,Se modifica la venta,,,Medio,33,5,Sí,Sí,,
38,Como administrativo quiero cancelar una venta para evitar que ventas no completadas se guarden en mi registro.,2,,Se cancela la venta,,,Bajo,33,5,Sí,Sí,,
39,Como administrativo quiero agregar un cliente para tener su información,2,,Se agrega cliente a la agenda,,,Alto,No tiene,3,Sí,Sí,,
40,Como administrativo quiero modificar un cliente para cambiar la información que tenía de él,2,,Se modifica informacion de cliente,,,Alto,36,3,Sí,Sí,,
41,Como administrativo quiero eliminar un cliente para borrar la información que tenía de él,2,,Se elimina cliente de la agenda,,,Alto,36,2,Sí,Sí,,
43,Como administrativo quiero consultar historial de cliente para saber que y cuándo nos ha comprado,2,,Se consulta el historial de ventas por cliente,,,Alto,"33,39",5,Sí,Sí,,
11,"Como  administrativo, quiero poder crear una materia prima al catálogo de materias primas para llevar un registro de todas las materias primas que me proveen",3,,Se registra la materia prima,Bajo,,Alta,No,3,Sí,Sí,,
12,"Como  administrativo, quiero poder editar materia prima del catálogo de materias primas para tener la información correcta de cada materia prima",3,,Se edita la materia prima,Bajo,,Alta,15,3,Sí,Sí,,
13,"Como  administrativo, quiero poder eliminar una materia prima del catálogo de materias primas para tener actualizado mi catálogo de materias primas.",3,Preguntar si de verdad quiere eliminar registro,Se elimina la materia prima,Bajo,,Alta,15,5,Sí,Sí,,
14,"Como  administrativo, quiero poder consultar el inventario de materias primas para consultar qué materias primas tengo registradas y puede saber más información de ellas.",3,,,,,,,5,,,,
20,Como administrativo quiero poder agregar mermas de productos terminados para tener nuestro inventario de productos actualizado,3,,,,,,,5,,,,
35,Como administrativo quiero que me llegue una notificacion cuando el material va a caducar para evitar que caduque,3,,,,,Alta,"10,24",8,Sí,Sí,,
46,Como usuario registado quiero iniciar sesión para que alguien sin cuenta no pueda entrar al sistema,3,,,,,Media,45,3,Sí,Sí,,
47,Como usuario registrado quiero terminar sesión para salir del sistema,3,,,,,Media,44,2,Sí,Sí,,
48,Como administrador quiero crear usuario para que tenga acceso al sistema.,3,,,,,Media,No tiene,3,Sí,Sí,,
49,Como administrador quiero modificar usuario para  que tenga los datos correctos. ,3,,,,,Media,45,3,Sí,Sí,,
50,Como administrador quiero eliminar usuario para que ya no tenga acceso al sistema.,3,,,,,Media,45,3,Sí,Sí,,
4,"Como administrativo, quiero poder subir un archivo de factura para verificar que haya capturado bien el inventario",,,La factura se guarda y hay una manera de acceder a ella desde el panel. ,Medio,,Baja,No,5,Sí,Sí,,
5,"Como administrativo, quiero poder eliminar archivo de factura para no tener archivos inservibles",,"Debe preguntar al usuario si está seguro, ya que esta acción es irreversible.",El archivo se elimina para liberar memoria. ,Bajo,,Baja,No,3,Sí,Sí,,
6,"Como administrativo, quiero poder subir un XML de Factura para hacer una captura automática",,,El XML es leido y llena lo campos de el producto a reabastecer,Alto,"Es un nice have, no es necesario implmentarlo.",Baja,No,13,Sí,Sí,,
30,Como administrativo quiero agregar una categoría para tener mejor ordenados los productos.,,,Se registra categoría,Bajo,"Es un nice have, no es necesario implmentarlo.",Baja,No,5,Sí,Sí,,
31,Como administrativo quiero modificar una categoría para que tenga los datos correctos,,,Se edita categoría,Bajo,"Es un nice have, no es necesario implmentarlo.",Baja,No,5,Sí,Sí,,
32,Como administrativo quiero eliminar una categoría para sólo tener las necesarias.,,Preguntar si de verdad quiere eliminar registro,Se elimina categoría,Bajo,"Es un nice have, no es necesario implmentarlo.",Baja,No,5,Sí,Sí,,
42,Como administrativo quiero consultar historial de ventas para saber cómo van las ventas,,,Se consulta el historial de ventas,,,Medio,33,5,Sí,Sí,,
44,Como administrativo quiero consultar pedidos para saber qué pedidos están activos,,,Se consultan los pedidos activos,,,Medio,34,3,Sí,Sí,,
45,Como administrativo quiero concluir pedido para tener un órden de los pedidos hechos,,,Se cierra un pedido activo,,,Medio,45,3,Sí,Sí,,
51,Como administrativo quiero agregar una franquicia para que tenga acceso al sistema.,,,,,"Es un nice have, no es necesario implmentarlo.",Baja,No tiene,5,Sí,Sí,,
52,Como administrativo quiero modificar una franquicia para que tenga los datos correctos actualizados.,,,,,"Es un nice have, no es necesario implmentarlo.",Baja,49,5,Sí,Sí,,
53,Como administrativo quiero eliminar una franquicia para que ya no tenga acceso al sistema.,,,,,"Es un nice have, no es necesario implmentarlo.",Baja,49,8,Sí,Sí,,
,,,,,,,,,240,,,,
